This file was created using the 202303 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199509   2.90   2.65   2.78   2.54   2.09   1.60
199510  -0.32  -0.25  -0.87  -1.51  -1.52  -2.35
199511  -2.81  -3.10  -2.32  -2.25  -0.20  -1.46
199512   1.34   1.04   1.15   2.35   2.29   2.46
199601   0.43   0.24   0.57   1.21   1.10   1.63
199602   4.30   3.19   3.59   3.34   3.29   3.34
199603   0.30   1.24   2.12   1.76   1.24   0.28
199604   0.89   1.45   1.56   0.53   2.18   2.05
199605   4.18   3.64   3.86   2.90   1.95   2.71
199606  -0.49  -0.24   0.75   0.43  -0.13  -0.36
199607  -1.87  -0.53   1.00  -2.13  -1.51  -1.61
199608   2.08   2.13   1.37   3.11   2.02   1.94
199609  -1.49  -1.29  -0.67   0.12   1.02   0.03
199610   1.42   1.66   2.02   2.41   1.67   0.73
199611   2.18   1.94   2.77   2.64   3.30   4.93
199612   1.42   1.71   2.43   1.62   2.42   4.03
199701   0.04   0.57   1.17  -0.81   0.50   3.42
199702   3.74   2.83   2.36   0.65   0.32   1.31
199703   0.62   1.33   2.21   1.18   2.17   2.76
199704  -1.94  -1.66  -0.92  -2.28  -1.71  -0.96
199705   1.49   3.60   3.56   3.50   3.57   3.45
199706  -0.50   0.40   1.18   2.08   3.68   3.45
199707  -3.37  -2.33  -1.71   1.44   1.77   3.18
199708   1.28   1.18   0.76  -2.31  -2.57  -2.62
199709   4.51   4.94   5.85   7.27   7.70   9.54
199710  -0.25  -0.34   0.33  -3.67  -3.90  -2.60
199711  -1.95  -1.62  -1.18   0.96   0.71  -0.77
199712  -1.09  -1.96  -0.57   0.95   0.84   3.84
199801   2.03   0.91   2.83   2.34   2.14   4.69
199802   5.35   4.92   6.30   7.35   7.37   8.90
199803   6.75   6.38   7.69   7.14   8.24  11.93
199804   4.82   4.51   5.58   2.89   4.76   2.93
199805   4.84   4.43   4.28   2.36   3.14   3.45
199806  -2.91  -2.35  -2.49  -2.68  -2.33  -4.34
199807  -1.15  -0.94  -0.04   2.75   1.95   1.67
199808 -10.17  -9.22  -6.77 -11.26 -10.94 -12.93
199809  -3.81  -3.71  -2.13  -3.26  -4.57  -6.15
199810  -0.47   0.11   0.70   6.38   7.57   6.50
199811   2.10   1.21   1.31   3.03   2.25   5.36
199812   1.12  -0.43   0.52   2.29   2.50   1.04
199901   2.48   0.43   0.70   1.51  -1.80  -1.76
199902   0.67  -0.89   0.46  -1.94  -2.03  -1.82
199903   1.14   0.19   1.45  -0.15   0.39   2.58
199904   3.94   5.24   4.78   3.11   5.55   5.11
199905   0.79   2.06   3.75  -1.25  -2.34  -2.46
199906   1.67   2.31   3.04   1.94   1.97   2.16
199907   4.60   7.05   5.26   2.26   1.51   2.95
199908   4.20   4.54   2.96   0.83   1.24   1.10
199909   1.87   1.77   1.76  -0.24  -0.37  -0.20
199910   0.17   0.40  -0.20   1.45  -0.67  -2.06
199911  10.47   3.91   0.84   5.54  -0.78  -1.34
199912  10.78   6.53   4.29   9.62   6.87   7.05
200001   8.49   4.73   2.15  -6.01  -7.08  -8.92
200002  10.40   6.33   1.58   6.49   2.86   0.96
200003  -1.50   0.22   0.69   1.15   3.24   4.22
200004 -10.65  -7.45  -5.34  -6.24  -2.88  -3.24
200005  -1.89   2.25   3.82   0.34   4.01   4.07
200006   0.75   1.30   2.68   1.11   1.77   2.44
200007  -4.04  -2.05  -1.03   3.47   0.00  -0.28
200008  -2.26  -0.98  -0.54   0.39  -0.43  -0.65
200009  -2.63  -1.74  -1.07  -5.95  -2.12  -2.54
200010 -14.39  -7.53  -4.42  -7.28  -1.86   0.41
200011 -12.46  -4.38   0.11 -12.82  -0.59   2.86
200012   2.32   3.48   5.86   5.83   8.18   8.01
200101   3.95   5.81   3.90   5.79   1.88   1.10
200102  -6.77  -5.35  -1.21 -13.77  -3.03   0.29
200103 -12.25  -9.30  -7.07 -16.19  -8.54  -8.19
200104   3.70   3.96   4.27  13.60   5.73   4.90
200105  -6.63  -2.71  -0.88  -6.08  -3.00  -1.70
200106 -11.57  -4.94  -1.05 -10.20  -2.42  -2.45
200107  -6.03  -2.64  -0.27  -1.35   0.00   1.15
200108  -2.92  -0.17   1.49  -3.42   0.63   0.53
200109 -19.39 -15.74 -11.45 -15.02 -13.00 -14.98
200110  11.64   6.65   3.64  10.26   3.63   4.69
200111   8.58   7.67   4.61   9.04   5.38   6.87
200112  -1.41  -1.39   0.26   0.41   1.68   1.91
200201  -3.22  -2.17  -0.48  -5.42  -1.79  -0.91
200202  -4.00  -2.45   0.63  -1.49   0.97   1.85
200203   2.94   3.31   3.89   6.07   6.92   5.25
200204  -2.03   0.28   3.45  -4.08   2.76   2.76
200205  -1.31   0.95   3.17  -1.02   2.10   2.49
200206  -5.73  -2.29   1.56  -4.76  -3.06  -1.34
200207  -7.57  -8.20  -6.26 -11.68 -10.72  -8.41
200208  -3.06  -1.77  -0.33  -0.19   0.68   0.02
200209 -13.21 -12.28  -8.67 -12.39 -12.17 -13.35
200210   3.30   3.40   2.54   9.35   8.82   6.13
200211   7.43   6.80   5.38   7.69   6.99   7.31
200212  -2.48  -2.06   2.43  -4.81  -1.55  -0.82
200301  -0.88  -1.43   1.14  -2.64  -2.04  -1.82
200302  -5.51  -4.22  -3.20  -5.63  -4.11  -3.69
200303  -2.02  -2.19  -1.15  -0.53  -0.27  -0.77
200304  13.15  13.95  11.73  16.50  15.50  18.45
200305  12.12  12.22  12.28  10.72   8.64   9.77
200306   4.28   5.58   5.41   0.34   1.51   2.67
200307   1.73   3.14   5.14   2.28   2.37   5.26
200308   4.02   3.92   4.96   1.72   1.04   1.87
200309   7.04   6.63   8.14   4.35   4.30   4.25
200310   4.65   5.42   5.24   5.93   6.09   7.69
200311   5.16   4.47   4.84   4.17   4.43   5.03
200312   4.23   5.04   5.07   6.02   6.33   5.53
200401   7.88   7.39   9.33   3.43   3.51   3.62
200402   4.67   4.47   4.79   3.81   3.33   3.41
200403  -3.68  -2.89  -2.76  -2.79  -1.40  -3.30
200404  -2.88  -1.77  -1.88  -1.50  -0.74  -0.87
200405  -0.49  -0.42  -0.23   2.26   1.57   0.61
200406  -0.08   1.10   1.72   2.10   2.41   3.74
200407  -3.96  -2.59  -2.64  -3.89  -3.73  -2.38
200408  -1.24  -0.23  -0.04   0.14   1.09   0.58
200409   2.92   3.22   3.53   4.24   4.77   4.10
200410   3.48   4.57   4.92   4.27   4.24   4.47
200411   7.07   8.07   8.73   7.04   7.43   8.56
200412   3.05   3.96   4.61   4.52   5.36   5.51
200501   1.88   2.68   3.72  -1.00   1.02   0.22
200502   6.59   6.11   7.49   3.66   5.05   5.93
200503  -3.20  -2.78  -1.93  -2.79  -2.22  -2.63
200504  -3.38  -2.25  -2.05  -2.80  -2.91  -3.09
200505  -3.67  -2.44  -2.32   0.22   0.46   1.19
200506   1.06   1.68   2.35   0.84   2.08   1.83
200507   2.26   3.69   4.84   3.68   4.97   4.46
200508   4.87   4.66   4.58   2.75   3.79   3.13
200509  -0.21   1.27   0.39   2.03   2.58   1.63
200510  -4.58  -3.44  -2.10  -3.74  -3.34  -4.24
200511  -0.14   0.23  -0.37   1.85   1.97   2.57
200512   3.66   3.72   4.04   4.32   5.71   5.06
200601   9.86   8.83   9.01   6.67   7.54   9.38
200602   2.02   2.19   2.90   0.52   1.28   3.10
200603   4.66   5.10   4.67   4.17   4.61   6.42
200604   7.51   6.53   7.82   6.63   5.81   5.80
200605  -3.84  -3.90  -2.22  -3.56  -3.57  -3.86
200606  -2.72  -2.02  -1.53   0.19   0.43   0.19
200607  -1.16  -0.57   0.08  -0.24   0.46   2.16
200608   2.76   2.37   3.46   3.16   4.20   3.09
200609   0.45  -0.20  -0.12   1.16   2.33   2.08
200610   1.86   2.51   3.29   4.53   4.41   5.15
200611   5.36   5.14   5.64   4.85   4.80   4.84
200612   3.68   3.94   2.77   3.43   4.66   5.15
200701   3.95   3.77   4.39   1.03   2.02   1.68
200702   0.75   1.09   2.10   0.66   0.24   0.35
200703   2.85   3.37   4.04   5.01   5.84   5.16
200704   5.05   6.05   5.69   4.71   5.51   6.19
200705  -0.24   0.65   1.93   1.51   1.58   0.52
200706  -0.13   1.00   2.00  -0.46  -1.03  -0.96
200707  -0.24   0.23   0.29  -0.77  -1.03  -1.70
200708  -5.29  -5.20  -3.94  -1.90  -2.15  -2.90
200709   2.44   1.98   2.24   4.72   3.12   2.95
200710   2.98   2.79   2.18   5.05   4.38   3.46
200711  -7.33  -7.72  -6.06  -5.08  -4.96  -6.62
200712  -3.87  -2.60  -3.14  -2.54  -2.21  -2.08
200801  -7.88  -7.97  -6.13  -9.14  -9.00  -9.72
200802   3.17   3.79   3.14   3.90   3.94   3.19
200803  -2.00  -1.86  -1.36   0.78   2.04   2.31
200804   1.23   2.11   1.26   3.22   2.56   3.07
200805   0.80   1.36   0.74   1.64   0.98  -0.10
200806  -7.38  -6.40  -4.78  -9.17 -10.35 -10.98
200807  -5.34  -5.84  -6.16  -3.83  -5.31  -3.98
200808  -6.08  -5.61  -5.49  -4.10  -3.38  -2.47
200809 -15.17 -16.41 -15.65 -16.43 -16.22 -16.15
200810 -25.39 -26.17 -25.49 -25.40 -24.79 -26.82
200811  -7.87  -8.07  -7.21  -6.11  -7.55  -8.53
200812  -0.02   1.42   2.05   7.41   7.54   7.50
200901  -2.31  -3.90  -2.72  -7.38  -8.46 -11.42
200902  -4.19  -4.24  -5.01  -5.83  -9.95 -11.55
200903   7.99   4.47   4.71   6.98   9.32  13.52
200904  16.75  19.27  19.70  17.64  19.39  25.89
200905  16.92  16.58  15.88  13.81  14.41  14.75
200906   0.29   1.38  -0.30  -0.54  -1.84  -2.37
200907   4.17   4.13   5.24   6.79   9.82  12.35
200908   4.26   6.49   9.63   3.74   6.04   9.92
200909   7.07   5.34   6.37   6.13   6.09   7.08
200910  -0.02   0.60   1.32  -1.61  -1.24  -3.72
200911   0.45   0.60  -0.34   3.70   2.97   1.43
200912  -2.69  -1.99  -2.97   2.07   0.30  -0.17
201001  -0.07  -0.43   0.05  -2.89  -3.62  -4.21
201002  -3.17  -2.16  -3.45  -1.30  -2.53  -3.12
201003   1.37   3.24   4.00   5.51   7.25   9.00
201004   1.57   0.88   1.33  -1.71  -0.03  -1.30
201005 -10.94 -10.75 -11.72 -10.77 -12.28 -14.56
201006  -0.83   1.07  -0.41   0.64  -0.68  -3.48
201007   7.61   8.75   9.60  10.94  11.68  14.69
201008  -4.35  -3.28  -2.89  -2.79  -4.29  -6.03
201009  12.08  12.04  10.06  12.01  13.44  12.47
201010   3.59   4.89   4.76   5.32   5.02   5.01
201011  -5.93  -6.25  -6.38  -5.75  -6.86 -10.39
201012   8.48   9.87   8.05   9.15  11.92  10.72
201101   6.22   6.08   6.73   1.00   2.32   6.49
201102   1.89   2.02   3.23   2.65   3.02   2.94
201103   1.22   1.24   0.46   1.93   1.92   0.13
201104   6.11   6.78   6.78   7.38   7.87   7.99
201105  -2.17  -1.76  -3.02  -2.28  -2.97  -4.49
201106  -4.13  -3.25  -2.89  -1.93  -3.09  -3.47
201107  -2.17  -1.11  -1.46  -2.73  -3.64  -7.40
201108  -8.29  -7.63  -7.46  -6.74  -9.58 -12.04
201109 -11.09 -11.40 -11.17 -12.61 -13.30 -13.18
201110   6.20   5.33   4.07  11.33  11.12   8.14
201111  -7.38  -7.07  -6.49  -2.53  -5.40  -8.82
201112  -2.03  -2.63  -3.61  -3.21  -3.17  -3.28
201201   8.28   9.69   9.01   8.90   8.59  12.86
201202   7.46   7.68   7.81   9.97   6.58   6.88
201203  -0.05   0.36   0.37   1.05   0.51  -1.25
201204  -2.14  -1.05  -2.78   0.89  -1.67  -5.62
201205 -11.97 -11.39 -11.59 -12.05 -13.55 -15.64
201206   1.05   2.12   2.78   5.38   5.71   9.91
201207  -1.89  -1.50  -1.81   1.91   1.08  -1.04
201208   3.74   5.19   4.54   3.83   3.70   6.85
201209   3.30   3.96   5.19   3.08   3.64   5.70
201210   0.35   0.31   0.78   0.96   1.27   2.33
201211  -0.53  -0.76  -0.55   2.54   1.34   0.43
201212   4.59   4.02   5.63   2.29   3.41   5.35
201301   7.38   7.04  10.07   3.53   6.02   8.71
201302  -2.35  -2.33  -3.18  -0.52  -1.06  -4.11
201303  -1.83  -2.09  -2.03   0.73  -0.80  -3.73
201304   0.89   1.43   2.13   2.30   3.14   7.14
201305   0.27   0.32   1.49   0.49   1.16   2.27
201306  -0.88  -1.81  -2.14  -3.27  -4.32  -6.68
201307   4.41   4.09   4.76   7.48   8.23   9.49
201308   3.78   3.05   4.25  -0.09  -1.36  -0.22
201309   7.63   6.93   7.18   5.67   7.30   7.98
201310   3.12   3.07   4.80   2.42   3.83   7.27
201311   2.81   2.17   2.16   0.88   1.26   1.59
201312   2.38   2.03   2.02   3.10   2.67   2.75
201401   2.36   2.15   3.04  -3.72  -2.48  -1.08
201402   6.44   6.86   6.29   7.71   7.69   8.43
201403  -2.19  -0.55   0.11  -1.00  -0.56   0.42
201404  -1.06   1.15   1.31   1.44   1.50   1.01
201405   0.04   0.14  -0.37   1.12   0.69   0.02
201406   0.82   1.43   0.05   0.43  -0.46  -1.34
201407  -3.15  -4.05  -3.03  -4.24  -5.14  -4.44
201408  -2.03  -1.65  -1.48   0.03  -0.60  -0.78
201409  -4.51  -4.77  -4.81  -4.89  -4.93  -4.45
201410  -5.54  -4.30  -6.10  -0.43  -2.77  -3.79
201411   0.04  -0.24  -0.84   2.76   2.49   1.75
201412  -3.44  -2.73  -4.10  -0.85  -3.13  -5.11
201501  -3.47  -2.76  -4.24   0.98  -0.58  -2.59
201502   5.24   5.88   5.33   5.64   6.98   9.35
201503  -1.87  -3.43  -2.62  -2.47  -2.52  -2.41
201504   6.42   6.98   7.70   5.28   6.00   5.47
201505   0.72   1.46   0.42   1.22  -0.35  -1.38
201506   1.27  -0.18  -0.37  -2.88  -2.64  -2.60
201507   1.63   0.71  -0.43   2.71   1.81   1.07
201508  -1.64  -1.90  -1.85  -4.61  -4.94  -5.94
201509  -1.65  -2.48  -2.37  -2.38  -3.68  -6.19
201510   2.99   3.10   1.53   5.33   6.24   6.31
201511  -1.23  -1.74  -3.82   0.37  -0.69  -3.40
201512   2.33   2.11   0.69  -1.24  -0.55  -2.92
201601  -5.95  -5.79  -3.98  -6.65  -5.95  -9.93
201602  -1.51  -1.03  -0.65  -0.55   0.13  -1.85
201603   7.73   7.51   8.48   7.80   8.07   9.45
201604   2.58   2.57   5.71   0.78   2.03   4.97
201605  -0.73  -0.99  -1.57   0.83  -0.22  -2.71
201606  -6.70  -6.71  -5.33  -5.08  -6.23  -9.08
201607   4.98   4.59   4.48   5.11   5.80   5.74
201608   3.35   2.76   3.04   0.21   1.58   2.06
201609   2.92   1.43   1.47   0.36   1.80   0.74
201610  -4.55  -3.69  -2.14  -5.76  -4.41   0.12
201611  -2.33  -2.15  -1.05  -3.39  -2.86  -1.83
201612   2.91   2.56   3.37   3.41   4.11   5.71
201701   7.31   6.28   8.26   3.70   3.38   4.15
201702  -0.59   0.40   0.33   1.67   1.41  -0.71
201703   2.53   2.36   2.85   4.25   4.25   4.29
201704   3.72   5.30   5.21   5.68   6.81   4.28
201705   3.46   5.46   5.04   4.97   5.02   4.90
201706   1.28   2.21   2.64  -1.40  -0.45   0.52
201707   4.44   3.73   5.04   3.03   3.86   4.89
201708  -0.50  -0.18   0.32   2.59   0.18  -0.08
201709   2.75   2.42   1.80   2.56   3.12   3.34
201710   0.14  -1.08  -0.42   0.50   1.12   0.30
201711  -0.74   0.18   1.00  -0.09  -0.20   0.90
201712   0.78   1.99   3.00   1.58   2.04   2.59
201801   9.04   7.87   8.46   6.06   5.53   6.73
201802  -4.75  -3.57  -4.17  -3.86  -4.29  -4.43
201803  -2.62  -1.58  -0.83  -1.27  -0.02  -1.38
201804  -0.20   0.46   0.94   1.82   1.45   2.42
201805  -1.56  -1.86  -2.00  -0.25  -1.25  -5.19
201806  -1.44  -1.27  -1.70   0.24  -1.47  -1.49
201807   0.68   0.96   0.86   2.70   1.56   3.90
201808  -1.02  -1.69  -0.90   0.20  -1.65  -2.92
201809  -0.29  -0.25  -0.59  -1.78  -0.67   1.29
201810 -11.14 -10.13  -8.07 -10.01  -8.81  -8.59
201811  -2.88  -2.51  -2.56  -2.70  -1.66  -1.53
201812  -5.77  -4.67  -2.92  -4.20  -4.33  -5.15
201901   7.40   6.44   6.13   8.93   7.35   6.70
201902   1.11  -0.36   1.05   3.76   2.56   2.65
201903  -1.52  -0.29  -1.06   1.40  -0.51  -1.45
201904   2.93   3.68   3.36   5.63   5.05   4.46
201905  -3.40  -4.05  -2.33  -5.06  -6.77  -6.53
201906   3.10   3.54   3.47   6.48   7.09   4.99
201907  -2.22  -2.62  -1.22  -1.67  -2.85  -2.83
201908  -3.65  -3.25  -2.22  -2.32  -1.95  -3.33
201909   1.27   1.14   0.61   0.47   2.66   4.16
201910   2.85   3.04   3.60   4.55   3.70   5.01
201911   3.69   2.48   1.78   3.63   2.46   1.76
201912   6.47   6.10   5.31   4.43   3.95   4.90
202001   1.20   1.03  -0.02  -0.89  -2.79  -3.58
202002  -9.30  -9.05  -7.29  -8.78  -8.74  -8.62
202003 -15.92 -18.04 -19.42 -12.90 -18.45 -22.93
202004  18.02  14.58  13.69  10.80   9.02   8.05
202005   8.01   6.35   4.68   9.16   6.12   3.62
202006   5.87   4.79   4.56   1.59   3.15   5.00
202007  11.36   9.10   6.21   6.85   5.70   2.85
202008   8.78   7.97   7.49   7.08   5.74   6.69
202009  -2.17  -2.29  -2.60  -1.00  -2.07  -4.98
202010  -3.84  -3.38  -1.80  -3.81  -4.72  -4.53
202011  13.39  17.02  18.27  11.48  17.60  23.51
202012  12.21   9.65   9.95   6.65   5.69   5.95
202101   3.52   2.62   3.10  -0.42  -0.36  -1.42
202102   4.57   4.61   6.77   0.98   1.36   6.40
202103   0.45   2.47   2.51   1.26   3.13   3.83
202104   7.14   6.93   7.12   7.35   4.64   3.59
202105   1.43   3.27   4.14   2.66   4.09   5.61
202106  -3.19  -2.46  -1.49   0.10  -2.25  -3.76
202107   1.12   1.41   0.43   4.21   2.63   1.53
202108   3.20   1.59   1.55   2.46   0.99   1.63
202109  -5.45  -4.26  -1.85  -6.14  -5.85  -3.44
202110   0.32   1.64   1.87   3.99   2.71   4.07
202111  -6.11  -5.59  -4.69  -3.13  -5.12  -5.61
202112   1.60   3.38   2.91   3.60   5.41   5.91
202201  -7.93  -5.69  -1.30 -12.44  -5.05  -0.60
202202  -7.25  -6.34  -3.14  -5.06  -3.46  -4.30
202203   0.57   0.66   1.77  -1.08  -1.66  -1.51
202204  -8.80  -7.00  -3.99  -8.56  -4.71  -6.10
202205  -2.49  -1.87   0.75  -0.58   1.40   3.20
202206 -10.55 -10.53  -8.74 -11.75 -11.80 -14.10
202207   2.70   2.76   1.14   9.63   5.14   1.60
202208  -6.10  -5.64  -2.71  -8.64  -7.21  -4.51
202209 -14.10 -13.73 -10.69 -12.22 -11.72  -9.74
202210   3.57   3.48   3.87   6.08   8.01   8.83
202211   9.59   8.19   7.67  12.30  12.97  11.89
202212   0.26  -0.06   1.08  -1.45  -0.20   0.98
202301   6.67   7.98   6.95   9.02   8.71  10.44
202302  -2.43  -2.63  -0.54  -1.49  -1.16   0.25
202303  -2.41  -2.26  -1.69   3.61   1.96  -3.62



  Average Value Weighted Returns -- Annual
           Small                 Big
       Low    2      High   Low    2      High
1991   3.25   3.37  -3.97  16.19   8.91   9.66
1992 -16.22 -18.93 -19.73  -8.01  -4.79  -7.13
1993  24.02  28.37  44.70  15.84  31.32  39.66
1994   6.69   9.50  16.43   2.01   1.15   5.62
1995  12.12   9.04   7.41  24.83  17.87  16.23
1996  17.69  18.91  21.47  20.31  24.08  20.55
1997   2.61   8.27  16.84  18.01  21.37  28.81
1998  12.16   4.17  16.55  29.92  25.86  23.62
1999  49.96  25.67  18.24  22.03  17.83   7.22
2000 -30.43 -12.40   2.08 -24.33   1.78  -1.37
2001 -39.46 -17.33  -3.19 -30.41 -16.36 -14.45
2002 -25.62  -7.02  10.78 -19.69 -12.98 -12.94
2003  49.29  57.05  66.59  31.92  43.79  55.14
2004  24.54  33.67  37.41  17.00  26.29  26.50
2005  11.00  18.01  23.67   8.71  11.43  14.93
2006  40.88  42.08  49.25  30.40  34.93  44.18
2007   1.67   8.78   8.02  18.16  16.40  11.69
2008 -53.78 -49.86 -50.55 -39.95 -45.09 -49.76
2009  54.86  43.62  49.42  32.62  31.13  41.17
2010  15.81  20.29   9.44  10.82   4.99  -0.04
2011 -14.89 -18.74 -24.22  -4.22 -11.29 -20.66
2012  24.31  22.02  22.39  21.83  15.71  27.55
2013  31.61  34.55  41.13  21.48  27.41  32.66
2014  -8.84  -6.69  -9.78  -1.42  -5.73 -11.06
2015  17.08  10.83  -0.74   4.61   1.91 -11.07
2016  -2.54   3.33   9.92  -6.53   1.76   3.17
2017  32.49  36.63  35.72  25.95  30.99  28.74
2018 -18.26 -18.22 -17.92  -9.42 -15.72 -16.44
2019  28.37  19.31  22.20  33.61  23.59  16.23
2020  43.30  19.36   5.46  17.76  10.39  -4.61
2021   8.27  17.09  20.42  21.96  10.44  19.74
2022 -35.73 -25.14 -11.55 -22.86 -13.79  -8.74



  Average Equal Weighted Returns -- Annual
           Small                 Big
       Low    2      High   Low    2      High
1991   3.24   5.84   1.61   7.13   3.49   6.75
1992 -18.67 -19.69 -18.07 -12.61 -10.74 -13.71
1993  32.43  37.09  59.19  23.84  33.05  45.90
1994   8.24  12.33  26.46   5.04   6.21   9.81
1995  11.38   8.46  10.83  15.02  13.10   7.08
1996  13.97  16.11  23.49  19.34  20.10  21.32
1997   2.31   6.85  13.56   8.83  13.31  26.04
1998   7.45   4.86  18.23  19.30  22.36  22.42
1999  51.28  38.71  33.06  24.56   9.48  11.34
2000 -27.03  -6.73   4.02 -19.50   4.33   6.48
2001 -36.00 -19.02  -4.97 -28.41 -12.09  -7.69
2002 -26.63 -16.58   6.49 -22.64  -2.42  -1.04
2003  57.75  64.84  77.07  50.23  51.66  67.13
2004  17.07  26.98  33.42  25.61  30.96  31.13
2005   4.51  13.31  19.61   8.93  20.32  16.62
2006  33.90  33.41  41.33  35.78  43.20  52.44
2007   0.10   4.65  11.59  11.93  11.23   5.43
2008 -54.37 -53.55 -51.04 -47.44 -48.64 -50.63
2009  57.25  57.01  60.91  52.14  52.26  61.72
2010   7.31  16.54  11.11  16.81  16.48   3.96
2011 -16.18 -14.25 -15.42  -9.45 -16.21 -26.30
2012  11.13  18.41  19.11  30.72  20.51  26.14
2013  30.66  26.03  35.39  24.70  28.45  35.55
2014 -12.08  -6.92 -10.09  -2.25  -8.06  -9.65
2015  10.74   7.36  -0.71   7.54   4.30  -6.37
2016   1.58   0.06  11.47  -3.92   2.75   1.48
2017  27.16  32.90  40.81  32.93  34.86  33.35
2018 -20.86 -17.59 -13.40 -13.09 -15.16 -16.07
2019  18.76  16.30  19.62  33.60  24.09  21.35
2020  51.01  37.22  31.96  25.33  11.91   3.99
2021   8.02  15.94  24.02  17.49  11.15  18.86
2022 -35.60 -32.06 -14.68 -31.91 -19.41 -16.01



  Number of Firms in Portfolios
              Small                 Big
          Low    2      High   Low    2      High
199007    481    779    958    286    380    284
199008    481    776    955    286    380    284
199009    480    776    955    286    380    284
199010    479    776    955    285    379    284
199011    478    776    954    285    378    283
199012    477    772    951    285    378    283
199101    475    769    947    284    378    281
199102    473    767    942    284    378    280
199103    472    764    942    284    378    280
199104    470    763    938    284    377    279
199105    469    760    931    284    377    279
199106    469    757    927    283    377    279
199107    446    835   1278    288    385    290
199108    445    834   1276    288    381    289
199109    440    834   1271    288    379    288
199110    439    832   1262    288    379    288
199111    437    831   1254    287    379    287
199112    436    827   1249    287    379    287
199201    434    822   1248    286    378    286
199202    433    820   1241    286    378    286
199203    433    818   1233    286    378    285
199204    433    817   1230    285    377    285
199205    432    814   1224    284    377    285
199206    431    813   1219    283    377    285
199207    496    828   1440    293    388    293
199208    495    828   1439    293    387    291
199209    495    825   1435    293    386    291
199210    492    822   1431    293    386    290
199211    492    822   1429    293    386    290
199212    491    822   1424    293    386    290
199301    486    818   1422    292    385    288
199302    486    817   1418    292    385    288
199303    485    816   1416    292    385    288
199304    485    815   1413    292    385    287
199305    481    813   1404    291    385    286
199306    481    812   1402    289    385    284
199307    450    868   1807    290    388    290
199308    450    864   1803    290    388    290
199309    447    861   1801    290    388    290
199310    447    861   1800    290    388    289
199311    446    861   1796    288    388    288
199312    446    861   1792    288    388    288
199401    446    861   1790    287    388    288
199402    445    861   1786    287    388    287
199403    445    859   1784    287    388    286
199404    445    857   1781    285    387    285
199405    444    857   1770    284    387    284
199406    443    857   1765    282    387    283
199407    577    824   1761    329    439    329
199408    577    823   1759    329    439    329
199409    575    823   1755    329    437    329
199410    573    822   1754    329    436    329
199411    570    822   1746    329    435    329
199412    570    820   1745    329    435    328
199501    567    818   1743    328    432    325
199502    565    815   1739    328    432    325
199503    565    814   1736    328    432    325
199504    565    813   1726    327    430    325
199505    563    810   1725    326    430    325
199506    562    806   1718    326    430    325
199507    758   1108   1703    329    440    328
199508    756   1106   1692    327    439    328
199509    755   1105   1687    325    439    328
199510    755   1103   1684    324    439    328
199511    753   1101   1673    324    437    326
199512    751   1096   1667    323    435    325
199601    746   1092   1652    320    433    324
199602    742   1091   1643    319    428    323
199603    742   1091   1635    318    427    322
199604    737   1091   1628    318    426    321
199605    735   1088   1620    317    423    319
199606    733   1085   1617    316    422    318
199607    736   1141   1876    314    424    318
199608    735   1139   1873    312    421    318
199609    732   1133   1860    310    418    317
199610    727   1131   1851    309    416    315
199611    723   1129   1843    308    415    314
199612    721   1122   1837    308    413    314
199701    719   1117   1825    307    410    314
199702    716   1112   1819    307    409    312
199703    714   1111   1808    307    409    312
199704    712   1106   1801    307    408    312
199705    707   1104   1794    303    405    312
199706    705   1100   1784    301    405    312
199707    875   1162   2075    291    387    291
199708    873   1157   2064    291    387    290
199709    871   1154   2057    290    387    290
199710    867   1151   2046    290    387    290
199711    866   1141   2028    289    387    289
199712    863   1136   2018    289    387    289
199801    860   1128   2000    288    384    289
199802    859   1125   1994    286    384    288
199803    855   1121   1979    285    381    286
199804    847   1115   1965    283    381    286
199805    845   1107   1957    282    380    286
199806    841   1100   1947    282    378    285
199807   1012   1096   2341    270    360    270
199808   1008   1092   2321    270    360    269
199809   1003   1085   2305    269    359    266
199810   1001   1081   2290    268    357    264
199811    996   1077   2273    268    354    263
199812    988   1072   2251    266    352    260
199901    982   1065   2219    264    346    255
199902    978   1056   2213    263    345    254
199903    976   1048   2203    261    343    253
199904    972   1044   2184    261    341    252
199905    967   1041   2170    260    340    249
199906    961   1036   2158    258    340    247
199907    792   1156   2732    242    322    242
199908    788   1147   2704    241    320    237
199909    785   1141   2685    240    319    235
199910    779   1136   2652    240    318    233
199911    776   1128   2630    240    318    233
199912    772   1119   2602    240    315    233
200001    771   1110   2572    238    312    231
200002    766   1105   2556    237    310    230
200003    765   1098   2529    237    309    229
200004    760   1088   2512    237    306    228
200005    755   1083   2498    236    303    226
200006    751   1079   2478    234    302    224
200007    935   1272   2633    238    320    239
200008    930   1267   2616    236    317    235
200009    926   1261   2597    235    316    232
